Date(UTC),UnixTimeStamp,Value
7/30/2015,1438214400,1299
7/31/2015,1438300800,511
8/1/2015,1438387200,334
8/2/2015,1438473600,394
8/3/2015,1438560000,443
8/4/2015,1438646400,458
8/5/2015,1438732800,371
8/6/2015,1438819200,411
8/7/2015,1438905600,409
8/8/2015,1438992000,458
8/9/2015,1439078400,421
8/10/2015,1439164800,415
8/11/2015,1439251200,438
8/12/2015,1439337600,474
8/13/2015,1439424000,504
8/14/2015,1439510400,555
8/15/2015,1439596800,441
8/17/2015,1439769600,377
8/16/2015,1439683200,385
8/18/2015,1439856000,390
8/19/2015,1439942400,361
8/20/2015,1440028800,257
8/21/2015,1440115200,338
8/22/2015,1440201600,323
8/23/2015,1440288000,320
8/24/2015,1440374400,377
8/25/2015,1440460800,335
8/26/2015,1440547200,303
8/27/2015,1440633600,266
8/28/2015,1440720000,257
8/29/2015,1440806400,232
8/30/2015,1440892800,179
8/31/2015,1440979200,182
9/1/2015,1441065600,171
9/2/2015,1441152000,135
9/3/2015,1441238400,126
9/4/2015,1441324800,232
9/5/2015,1441411200,274
9/6/2015,1441497600,345
9/7/2015,1441584000,343
9/8/2015,1441670400,348
9/9/2015,1441756800,345
9/10/2015,1441843200,383
9/11/2015,1441929600,411
9/12/2015,1442016000,339
9/13/2015,1442102400,353
9/14/2015,1442188800,360
9/15/2015,1442275200,378
9/16/2015,1442361600,412
9/17/2015,1442448000,372
9/18/2015,1442534400,403
9/19/2015,1442620800,490
9/20/2015,1442707200,389
9/21/2015,1442793600,340
9/22/2015,1442880000,298
9/23/2015,1442966400,334
9/24/2015,1443052800,341
9/25/2015,1443139200,366
9/26/2015,1443225600,338
9/27/2015,1443312000,307
9/28/2015,1443398400,275
9/29/2015,1443484800,314
9/30/2015,1443571200,356
10/1/2015,1443657600,373
10/2/2015,1443744000,324
10/3/2015,1443830400,292
10/4/2015,1443916800,281
10/5/2015,1444003200,292
10/6/2015,1444089600,266
10/7/2015,1444176000,295
10/8/2015,1444262400,270
10/9/2015,1444348800,245
10/10/2015,1444435200,270
10/11/2015,1444521600,301
10/12/2015,1444608000,284
10/13/2015,1444694400,301
10/14/2015,1444780800,320
10/15/2015,1444867200,263
10/16/2015,1444953600,273
10/17/2015,1445040000,312
10/18/2015,1445126400,297
10/19/2015,1445212800,291
10/20/2015,1445299200,332
10/22/2015,1445472000,305
10/21/2015,1445385600,289
10/23/2015,1445558400,331
10/24/2015,1445644800,336
10/25/2015,1445731200,351
10/26/2015,1445817600,366
10/27/2015,1445904000,376
10/28/2015,1445990400,398
10/29/2015,1446076800,453
10/30/2015,1446163200,409
10/31/2015,1446249600,554
11/1/2015,1446336000,625
11/2/2015,1446422400,531
11/3/2015,1446508800,573
11/4/2015,1446595200,549
11/5/2015,1446681600,473
11/6/2015,1446768000,450
11/7/2015,1446854400,550
11/8/2015,1446940800,570
11/9/2015,1447027200,509
11/10/2015,1447113600,574
11/11/2015,1447200000,702
11/12/2015,1447286400,693
11/13/2015,1447372800,681
11/14/2015,1447459200,713
11/15/2015,1447545600,561
11/16/2015,1447632000,577
11/17/2015,1447718400,515
11/18/2015,1447804800,489
11/19/2015,1447891200,446
11/20/2015,1447977600,403
11/21/2015,1448064000,422
11/22/2015,1448150400,459
11/23/2015,1448236800,483
11/24/2015,1448323200,484
11/25/2015,1448409600,464
11/26/2015,1448496000,486
11/27/2015,1448582400,528
11/28/2015,1448668800,571
11/29/2015,1448755200,550
11/30/2015,1448841600,516
12/1/2015,1448928000,566
12/3/2015,1449100800,537
12/2/2015,1449014400,501
12/4/2015,1449187200,432
12/5/2015,1449273600,412
12/6/2015,1449360000,453
12/7/2015,1449446400,493
12/8/2015,1449532800,464
12/9/2015,1449619200,602
12/10/2015,1449705600,467
12/11/2015,1449792000,454
12/12/2015,1449878400,486
12/13/2015,1449964800,399
12/14/2015,1450051200,455
12/15/2015,1450137600,445
12/16/2015,1450224000,407
12/17/2015,1450310400,420
12/18/2015,1450396800,414
12/19/2015,1450483200,401
12/20/2015,1450569600,447
12/21/2015,1450656000,418
12/22/2015,1450742400,456
12/23/2015,1450828800,488
12/24/2015,1450915200,422
12/25/2015,1451001600,371
12/26/2015,1451088000,405
12/27/2015,1451174400,468
12/28/2015,1451260800,439
12/29/2015,1451347200,463
12/30/2015,1451433600,420
12/31/2015,1451520000,449
1/1/2016,1451606400,434
1/2/2016,1451692800,505
1/3/2016,1451779200,529
1/4/2016,1451865600,516
1/5/2016,1451952000,583
1/6/2016,1452038400,575
1/7/2016,1452124800,558
1/8/2016,1452211200,555
1/9/2016,1452297600,553
1/10/2016,1452384000,483
1/11/2016,1452470400,389
1/12/2016,1452556800,329
1/13/2016,1452643200,402
1/14/2016,1452729600,387
1/15/2016,1452816000,363
1/16/2016,1452902400,344
1/17/2016,1452988800,379
1/18/2016,1453075200,333
1/19/2016,1453161600,326
1/20/2016,1453248000,360
1/21/2016,1453334400,295
1/22/2016,1453420800,324
1/23/2016,1453507200,302
1/24/2016,1453593600,379
1/25/2016,1453680000,345
1/26/2016,1453766400,327
1/27/2016,1453852800,317
1/28/2016,1453939200,334
1/29/2016,1454025600,339
1/30/2016,1454112000,296
1/31/2016,1454198400,352
2/1/2016,1454284800,360
2/2/2016,1454371200,294
2/3/2016,1454457600,347
2/4/2016,1454544000,335
2/5/2016,1454630400,355
2/6/2016,1454716800,377
2/7/2016,1454803200,334
2/8/2016,1454889600,344
2/9/2016,1454976000,319
2/10/2016,1455062400,360
2/11/2016,1455148800,366
2/13/2016,1455321600,378
2/12/2016,1455235200,357
2/14/2016,1455408000,370
2/15/2016,1455494400,358
2/16/2016,1455580800,349
2/17/2016,1455667200,373
2/18/2016,1455753600,327
2/19/2016,1455840000,395
2/20/2016,1455926400,345
2/21/2016,1456012800,338
2/22/2016,1456099200,330
2/23/2016,1456185600,356
2/24/2016,1456272000,340
2/25/2016,1456358400,320
2/26/2016,1456444800,366
2/27/2016,1456531200,327
2/28/2016,1456617600,341
2/29/2016,1456704000,305
3/1/2016,1456790400,331
3/2/2016,1456876800,327
3/3/2016,1456963200,288
3/4/2016,1457049600,266
3/5/2016,1457136000,266
3/6/2016,1457222400,258
3/7/2016,1457308800,247
3/8/2016,1457395200,220
3/9/2016,1457481600,237
3/10/2016,1457568000,200
3/11/2016,1457654400,264
3/12/2016,1457740800,321
3/13/2016,1457827200,351
3/14/2016,1457913600,259
3/15/2016,1458000000,391
3/16/2016,1458086400,401
3/17/2016,1458172800,477
3/18/2016,1458259200,434
3/19/2016,1458345600,494
3/20/2016,1458432000,425
3/21/2016,1458518400,419
3/22/2016,1458604800,404
3/23/2016,1458691200,422
3/24/2016,1458777600,467
3/25/2016,1458864000,451
3/26/2016,1458950400,442
3/27/2016,1459036800,409
3/28/2016,1459123200,386
3/29/2016,1459209600,402
3/30/2016,1459296000,435
3/31/2016,1459382400,377
4/1/2016,1459468800,430
4/2/2016,1459555200,408
4/3/2016,1459641600,458
4/4/2016,1459728000,448
4/5/2016,1459814400,415
4/6/2016,1459900800,373
4/7/2016,1459987200,403
4/8/2016,1460073600,420
4/9/2016,1460160000,375
4/10/2016,1460246400,431
4/11/2016,1460332800,370
4/12/2016,1460419200,378
4/13/2016,1460505600,415
4/14/2016,1460592000,379
4/15/2016,1460678400,418
4/16/2016,1460764800,416
4/17/2016,1460851200,412
4/18/2016,1460937600,457
4/19/2016,1461024000,430
4/20/2016,1461110400,453
4/21/2016,1461196800,417
4/22/2016,1461283200,415
4/23/2016,1461369600,427
4/24/2016,1461456000,460
4/25/2016,1461542400,469
4/26/2016,1461628800,434
4/27/2016,1461715200,452
4/28/2016,1461801600,440
4/29/2016,1461888000,439
4/30/2016,1461974400,455
5/1/2016,1462060800,370
5/2/2016,1462147200,438
5/3/2016,1462233600,448
5/4/2016,1462320000,444
5/5/2016,1462406400,464
5/6/2016,1462492800,465
5/7/2016,1462579200,468
5/8/2016,1462665600,459
5/9/2016,1462752000,445
5/10/2016,1462838400,470
5/11/2016,1462924800,476
5/12/2016,1463011200,493
5/13/2016,1463097600,539
5/14/2016,1463184000,534
5/15/2016,1463270400,475
5/16/2016,1463356800,470
5/17/2016,1463443200,510
5/18/2016,1463529600,532
5/19/2016,1463616000,459
5/20/2016,1463702400,478
5/21/2016,1463788800,485
5/22/2016,1463875200,460
5/23/2016,1463961600,516
5/24/2016,1464048000,501
5/25/2016,1464134400,557
5/26/2016,1464220800,492
5/28/2016,1464393600,563
5/27/2016,1464307200,527
5/29/2016,1464480000,487
5/30/2016,1464566400,498
5/31/2016,1464652800,459
6/1/2016,1464739200,483
6/2/2016,1464825600,454
6/3/2016,1464912000,526
6/4/2016,1464998400,506
6/5/2016,1465084800,440
6/6/2016,1465171200,460
6/7/2016,1465257600,490
6/8/2016,1465344000,463
6/9/2016,1465430400,438
6/10/2016,1465516800,411
6/11/2016,1465603200,447
6/12/2016,1465689600,468
6/13/2016,1465776000,447
6/14/2016,1465862400,491
6/15/2016,1465948800,453
6/16/2016,1466035200,449
6/17/2016,1466121600,1053
6/18/2016,1466208000,1230
6/19/2016,1466294400,515
6/20/2016,1466380800,491
6/21/2016,1466467200,490
6/22/2016,1466553600,492
6/24/2016,1466726400,484
6/23/2016,1466640000,452
6/25/2016,1466812800,422
6/26/2016,1466899200,506
6/27/2016,1466985600,455
6/28/2016,1467072000,457
6/29/2016,1467158400,480
6/30/2016,1467244800,515
7/1/2016,1467331200,497
7/2/2016,1467417600,478
7/3/2016,1467504000,454
7/4/2016,1467590400,450
7/5/2016,1467676800,462
7/6/2016,1467763200,479
7/7/2016,1467849600,434
7/8/2016,1467936000,493
7/9/2016,1468022400,548
7/10/2016,1468108800,435
7/11/2016,1468195200,466
7/12/2016,1468281600,435
7/13/2016,1468368000,435
7/14/2016,1468454400,457
7/15/2016,1468540800,490
7/16/2016,1468627200,447
7/17/2016,1468713600,415
7/18/2016,1468800000,496
7/19/2016,1468886400,489
7/20/2016,1468972800,543
7/21/2016,1469059200,500
7/22/2016,1469145600,472
7/23/2016,1469232000,472
7/24/2016,1469318400,444
7/25/2016,1469404800,450
7/26/2016,1469491200,424
7/27/2016,1469577600,510
7/28/2016,1469664000,483
7/29/2016,1469750400,504
7/30/2016,1469836800,431
7/31/2016,1469923200,505
8/1/2016,1470009600,440
8/2/2016,1470096000,461
8/3/2016,1470182400,437
8/4/2016,1470268800,466
8/5/2016,1470355200,469
8/6/2016,1470441600,419
8/7/2016,1470528000,467
8/8/2016,1470614400,462
8/10/2016,1470787200,467
8/9/2016,1470700800,497
8/11/2016,1470873600,455
8/12/2016,1470960000,505
8/13/2016,1471046400,453
8/14/2016,1471132800,441
8/15/2016,1471219200,461
8/16/2016,1471305600,434
8/17/2016,1471392000,481
8/18/2016,1471478400,570
8/19/2016,1471564800,441
8/20/2016,1471651200,492
8/21/2016,1471737600,571
8/22/2016,1471824000,478
8/23/2016,1471910400,529
8/24/2016,1471996800,502
8/25/2016,1472083200,420
8/26/2016,1472169600,461
8/27/2016,1472256000,485
8/28/2016,1472342400,463
8/29/2016,1472428800,465
8/30/2016,1472515200,439
8/31/2016,1472601600,449
9/1/2016,1472688000,454
9/2/2016,1472774400,490
9/3/2016,1472860800,438
9/4/2016,1472947200,438
9/5/2016,1473033600,458
9/6/2016,1473120000,429
9/7/2016,1473206400,422
9/8/2016,1473292800,463
9/9/2016,1473379200,464
9/10/2016,1473465600,460
9/11/2016,1473552000,479
9/12/2016,1473638400,485
9/13/2016,1473724800,471
9/14/2016,1473811200,520
9/15/2016,1473897600,514
9/16/2016,1473984000,482
9/17/2016,1474070400,492
9/18/2016,1474156800,429
9/19/2016,1474243200,672
9/20/2016,1474329600,476
9/21/2016,1474416000,500
9/22/2016,1474502400,848
9/23/2016,1474588800,868
9/24/2016,1474675200,1103
9/25/2016,1474761600,863
9/26/2016,1474848000,877
9/27/2016,1474934400,1436
9/29/2016,1475107200,462
9/28/2016,1475020800,522
9/30/2016,1475193600,433
10/1/2016,1475280000,1507
10/2/2016,1475366400,1445
10/3/2016,1475452800,661
10/4/2016,1475539200,533
10/5/2016,1475625600,1234
10/6/2016,1475712000,896
10/7/2016,1475798400,2044
10/8/2016,1475884800,1394
10/9/2016,1475971200,880
10/10/2016,1476057600,814
10/11/2016,1476144000,633
10/12/2016,1476230400,969
10/13/2016,1476316800,1208
10/14/2016,1476403200,708
10/15/2016,1476489600,582
10/16/2016,1476576000,746
10/17/2016,1476662400,718
10/18/2016,1476748800,758
10/19/2016,1476835200,1178
10/20/2016,1476921600,842
10/21/2016,1477008000,464
10/22/2016,1477094400,425
10/23/2016,1477180800,388
10/24/2016,1477267200,488
10/25/2016,1477353600,425
10/26/2016,1477440000,416
10/27/2016,1477526400,384
10/28/2016,1477612800,382
10/29/2016,1477699200,361
10/30/2016,1477785600,467
10/31/2016,1477872000,436
11/1/2016,1477958400,362
11/2/2016,1478044800,381
11/3/2016,1478131200,410
11/4/2016,1478217600,391
11/5/2016,1478304000,405
11/6/2016,1478390400,421
11/7/2016,1478476800,470
11/8/2016,1478563200,426
11/9/2016,1478649600,383
11/10/2016,1478736000,385
11/11/2016,1478822400,384
11/12/2016,1478908800,424
11/13/2016,1478995200,395
11/15/2016,1479168000,393
11/14/2016,1479081600,431
11/16/2016,1479254400,377
11/17/2016,1479340800,415
11/18/2016,1479427200,465
11/19/2016,1479513600,431
11/20/2016,1479600000,425
11/21/2016,1479686400,398
11/22/2016,1479772800,424
11/23/2016,1479859200,916
11/24/2016,1479945600,793
11/25/2016,1480032000,831
11/26/2016,1480118400,778
11/27/2016,1480204800,1107
11/28/2016,1480291200,1039
11/29/2016,1480377600,843
11/30/2016,1480464000,436
12/1/2016,1480550400,417
12/2/2016,1480636800,401
12/3/2016,1480723200,373
12/4/2016,1480809600,356
12/5/2016,1480896000,346
12/6/2016,1480982400,424
12/7/2016,1481068800,376
12/8/2016,1481155200,418
12/9/2016,1481241600,396
12/10/2016,1481328000,369
12/11/2016,1481414400,365
12/12/2016,1481500800,384
12/13/2016,1481587200,412
12/14/2016,1481673600,407
12/15/2016,1481760000,382
12/16/2016,1481846400,385
12/17/2016,1481932800,395
12/18/2016,1482019200,396
12/19/2016,1482105600,371
12/20/2016,1482192000,373
12/21/2016,1482278400,351
12/22/2016,1482364800,362
12/23/2016,1482451200,379
12/24/2016,1482537600,364
12/25/2016,1482624000,390
12/26/2016,1482710400,370
12/27/2016,1482796800,346
12/28/2016,1482883200,365
12/29/2016,1482969600,396
12/30/2016,1483056000,382
12/31/2016,1483142400,356
1/1/2017,1483228800,337
1/2/2017,1483315200,353
1/3/2017,1483401600,385
1/4/2017,1483488000,393
1/5/2017,1483574400,381
1/6/2017,1483660800,373
1/7/2017,1483747200,388
1/8/2017,1483833600,372
1/9/2017,1483920000,378
1/10/2017,1484006400,344
1/11/2017,1484092800,367
1/12/2017,1484179200,367
1/13/2017,1484265600,346
1/14/2017,1484352000,328
1/15/2017,1484438400,369
1/16/2017,1484524800,366
1/17/2017,1484611200,371
1/18/2017,1484697600,363
1/19/2017,1484784000,383
1/20/2017,1484870400,375
1/21/2017,1484956800,368
1/22/2017,1485043200,354
1/23/2017,1485129600,354
1/24/2017,1485216000,351
1/25/2017,1485302400,387
1/26/2017,1485388800,394
1/27/2017,1485475200,335
1/28/2017,1485561600,347
1/29/2017,1485648000,372
1/30/2017,1485734400,406
1/31/2017,1485820800,373
2/1/2017,1485907200,362
2/2/2017,1485993600,331
2/3/2017,1486080000,373
2/4/2017,1486166400,385
2/5/2017,1486252800,338
2/6/2017,1486339200,383
2/7/2017,1486425600,417
2/8/2017,1486512000,387
2/9/2017,1486598400,354
2/10/2017,1486684800,361
2/11/2017,1486771200,387
2/12/2017,1486857600,358
2/13/2017,1486944000,382
2/14/2017,1487030400,378
2/15/2017,1487116800,361
2/16/2017,1487203200,351
2/17/2017,1487289600,350
2/18/2017,1487376000,343
2/19/2017,1487462400,326
2/20/2017,1487548800,362
2/21/2017,1487635200,320
2/22/2017,1487721600,319
2/23/2017,1487808000,317
2/24/2017,1487894400,335
2/25/2017,1487980800,377
2/26/2017,1488067200,381
2/27/2017,1488153600,361
2/28/2017,1488240000,367
3/1/2017,1488326400,379
3/2/2017,1488412800,370
3/3/2017,1488499200,353
3/4/2017,1488585600,353
3/5/2017,1488672000,340
3/6/2017,1488758400,360
3/7/2017,1488844800,336
3/8/2017,1488931200,350
3/9/2017,1489017600,329
3/10/2017,1489104000,353
3/11/2017,1489190400,347
3/12/2017,1489276800,357
3/13/2017,1489363200,400
3/14/2017,1489449600,407
3/15/2017,1489536000,409
3/16/2017,1489622400,423
3/17/2017,1489708800,460
3/18/2017,1489795200,435
3/19/2017,1489881600,349
3/20/2017,1489968000,374
3/21/2017,1490054400,345
3/22/2017,1490140800,383
3/23/2017,1490227200,406
3/24/2017,1490313600,366
3/25/2017,1490400000,354
3/26/2017,1490486400,355
3/27/2017,1490572800,350
3/28/2017,1490659200,295
3/29/2017,1490745600,369
3/30/2017,1490832000,355
3/31/2017,1490918400,377
4/1/2017,1491004800,342
4/2/2017,1491091200,337
4/3/2017,1491177600,360
4/4/2017,1491264000,386
4/5/2017,1491350400,362
4/6/2017,1491436800,364
4/7/2017,1491523200,373
4/8/2017,1491609600,340
4/9/2017,1491696000,349
4/10/2017,1491782400,342
4/11/2017,1491868800,331
4/12/2017,1491955200,365
4/13/2017,1492041600,375
4/14/2017,1492128000,402
4/15/2017,1492214400,388
4/16/2017,1492300800,390
4/17/2017,1492387200,376
4/18/2017,1492473600,343
4/19/2017,1492560000,290
4/20/2017,1492646400,314
4/21/2017,1492732800,303
4/22/2017,1492819200,286
4/23/2017,1492905600,328
4/24/2017,1492992000,327
4/25/2017,1493078400,354
4/26/2017,1493164800,318
4/27/2017,1493251200,312
4/28/2017,1493337600,337
4/29/2017,1493424000,301
4/30/2017,1493510400,311
5/1/2017,1493596800,340
5/2/2017,1493683200,373
5/3/2017,1493769600,361
5/4/2017,1493856000,326
5/5/2017,1493942400,369
5/6/2017,1494028800,362
5/7/2017,1494115200,357
5/8/2017,1494201600,338
5/9/2017,1494288000,380
5/10/2017,1494374400,375
5/11/2017,1494460800,333
5/12/2017,1494547200,394
5/13/2017,1494633600,357
5/14/2017,1494720000,336
5/15/2017,1494806400,403
5/16/2017,1494892800,391
5/17/2017,1494979200,341
5/18/2017,1495065600,321
5/19/2017,1495152000,344
5/20/2017,1495238400,329
5/21/2017,1495324800,402
5/22/2017,1495411200,387
5/23/2017,1495497600,403
5/24/2017,1495584000,404
5/25/2017,1495670400,413
5/26/2017,1495756800,412
5/27/2017,1495843200,431
5/28/2017,1495929600,429
5/29/2017,1496016000,447
5/30/2017,1496102400,524
5/31/2017,1496188800,458
6/1/2017,1496275200,460
6/2/2017,1496361600,372
6/3/2017,1496448000,405
6/4/2017,1496534400,388
6/5/2017,1496620800,411
6/6/2017,1496707200,388
6/7/2017,1496793600,425
6/8/2017,1496880000,432
6/9/2017,1496966400,424
6/10/2017,1497052800,400
6/11/2017,1497139200,451
6/12/2017,1497225600,508
6/13/2017,1497312000,515
6/14/2017,1497398400,480
6/15/2017,1497484800,452
6/16/2017,1497571200,450
6/17/2017,1497657600,506
6/18/2017,1497744000,488
6/19/2017,1497830400,523
6/20/2017,1497916800,500
6/21/2017,1498003200,449
6/22/2017,1498089600,477
6/23/2017,1498176000,436
6/24/2017,1498262400,476
6/25/2017,1498348800,460
6/26/2017,1498435200,498
6/27/2017,1498521600,415
6/28/2017,1498608000,489
6/29/2017,1498694400,497
6/30/2017,1498780800,444
7/1/2017,1498867200,436
7/2/2017,1498953600,407
7/3/2017,1499040000,492
7/4/2017,1499126400,521
7/5/2017,1499212800,490
7/6/2017,1499299200,450
7/7/2017,1499385600,499
7/8/2017,1499472000,433
7/9/2017,1499558400,397
7/10/2017,1499644800,387
7/11/2017,1499731200,364
7/12/2017,1499817600,367
7/13/2017,1499904000,322
7/14/2017,1499990400,332
7/15/2017,1500076800,303
7/16/2017,1500163200,302
7/17/2017,1500249600,325
7/18/2017,1500336000,318
7/19/2017,1500422400,347
7/20/2017,1500508800,358
7/21/2017,1500595200,302
7/22/2017,1500681600,283
7/23/2017,1500768000,313
7/24/2017,1500854400,301
7/25/2017,1500940800,333
7/26/2017,1501027200,336
7/27/2017,1501113600,309
7/28/2017,1501200000,381
7/29/2017,1501286400,284
7/30/2017,1501372800,317
7/31/2017,1501459200,363
8/1/2017,1501545600,259
8/2/2017,1501632000,242
8/3/2017,1501718400,281
8/4/2017,1501804800,292
8/5/2017,1501891200,270
8/6/2017,1501977600,292
8/7/2017,1502064000,298
8/8/2017,1502150400,306
8/9/2017,1502236800,304
8/10/2017,1502323200,340
8/11/2017,1502409600,353
8/12/2017,1502496000,342
8/13/2017,1502582400,350
8/14/2017,1502668800,344
8/15/2017,1502755200,392
8/16/2017,1502841600,437
8/17/2017,1502928000,455
8/18/2017,1503014400,407
8/19/2017,1503100800,380
8/20/2017,1503187200,340
8/21/2017,1503273600,401
8/22/2017,1503360000,409
8/23/2017,1503446400,392
8/24/2017,1503532800,411
8/25/2017,1503619200,269
8/26/2017,1503705600,269
8/27/2017,1503792000,271
8/28/2017,1503878400,303
8/29/2017,1503964800,349
8/30/2017,1504051200,329
8/31/2017,1504137600,347
9/1/2017,1504224000,308
9/2/2017,1504310400,288
9/3/2017,1504396800,241
9/4/2017,1504483200,323
9/5/2017,1504569600,332
9/6/2017,1504656000,345
9/7/2017,1504742400,353
9/8/2017,1504828800,330
9/9/2017,1504915200,313
9/10/2017,1505001600,292
9/11/2017,1505088000,279
9/12/2017,1505174400,328
9/13/2017,1505260800,313
9/14/2017,1505347200,330
9/15/2017,1505433600,373
9/16/2017,1505520000,331
9/17/2017,1505606400,273
9/18/2017,1505692800,332
9/19/2017,1505779200,315
9/20/2017,1505865600,297
9/21/2017,1505952000,285
9/22/2017,1506038400,187
9/23/2017,1506124800,149
9/24/2017,1506211200,193
9/25/2017,1506297600,176
9/26/2017,1506384000,192
9/27/2017,1506470400,227
9/28/2017,1506556800,183
9/29/2017,1506643200,184
9/30/2017,1506729600,189
10/1/2017,1506816000,209
10/2/2017,1506902400,223
10/3/2017,1506988800,222
10/4/2017,1507075200,226
10/5/2017,1507161600,189
10/6/2017,1507248000,202
10/7/2017,1507334400,197
10/8/2017,1507420800,205
10/9/2017,1507507200,204
10/10/2017,1507593600,232
10/11/2017,1507680000,235
10/12/2017,1507766400,230
10/13/2017,1507852800,246
10/14/2017,1507939200,226
10/15/2017,1508025600,241
10/16/2017,1508112000,502
10/17/2017,1508198400,864
10/18/2017,1508284800,739
10/19/2017,1508371200,739
10/20/2017,1508457600,760
10/21/2017,1508544000,625
10/22/2017,1508630400,660
10/23/2017,1508716800,735
10/24/2017,1508803200,773
10/25/2017,1508889600,733
10/26/2017,1508976000,743
10/27/2017,1509062400,760
10/28/2017,1509148800,740
10/29/2017,1509235200,738
10/30/2017,1509321600,805
10/31/2017,1509408000,774
11/1/2017,1509494400,773
11/2/2017,1509580800,795
11/3/2017,1509667200,714
11/4/2017,1509753600,686
11/5/2017,1509840000,725
11/6/2017,1509926400,708
11/7/2017,1510012800,759
11/8/2017,1510099200,663
11/9/2017,1510185600,745
11/10/2017,1510272000,697
11/11/2017,1510358400,687
11/12/2017,1510444800,625
11/13/2017,1510531200,742
11/14/2017,1510617600,719
11/15/2017,1510704000,762
11/16/2017,1510790400,751
11/17/2017,1510876800,700
11/18/2017,1510963200,718
11/19/2017,1511049600,695
11/20/2017,1511136000,797
11/21/2017,1511222400,800
11/22/2017,1511308800,750
11/23/2017,1511395200,759
11/24/2017,1511481600,728
11/25/2017,1511568000,730
11/26/2017,1511654400,794
11/27/2017,1511740800,852
11/28/2017,1511827200,860
11/29/2017,1511913600,903
11/30/2017,1512000000,840
12/1/2017,1512086400,882
12/2/2017,1512172800,858
12/3/2017,1512259200,943
12/4/2017,1512345600,1433
12/5/2017,1512432000,1630
12/6/2017,1512518400,1801
12/7/2017,1512604800,1508
12/8/2017,1512691200,1281
12/9/2017,1512777600,1324
12/10/2017,1512864000,1286
12/11/2017,1512950400,1288
12/12/2017,1513036800,1443
